place,geometry.type,geometry.coordinates,lat,long
Alaska,Point,"[-154.4930619, 63.588753]",63.588753,-154.4930619
Alabama,Point,"[-86.902298, 32.3182314]",32.3182314,-86.902298
Arkansas,Point,"[-91.8318334, 35.20105]",35.20105,-91.8318334
Arizona,Point,"[-111.0937311, 34.0489281]",34.0489281,-111.0937311
California,Point,"[-119.4179324, 36.778261]",36.778261,-119.4179324
Colorado,Point,"[-105.7820674, 39.5500507]",39.5500507,-105.7820674
Connecticut,Point,"[-73.087749, 41.6032207]",41.6032207,-73.087749
Delaware,Point,"[-75.52766989999999, 38.9108325]",38.9108325,-75.52766989999999
Florida,Point,"[-81.5157535, 27.6648274]",27.6648274,-81.5157535
Georgia,Point,"[43.35689199999999, 42.315407]",42.315407,43.35689199999999
Iowa,Point,"[-93.097702, 41.8780025]",41.8780025,-93.097702
Idaho,Point,"[-114.7420408, 44.0682019]",44.0682019,-114.7420408
Illinois,Point,"[-89.3985283, 40.6331249]",40.6331249,-89.3985283
Indiana,Point,"[-85.60236429999999, 40.5512165]",40.5512165,-85.60236429999999
Kansas,Point,"[-98.4842465, 39.011902]",39.011902,-98.4842465
Kentucky,Point,"[-84.2700179, 37.8393332]",37.8393332,-84.2700179
Louisiana,Point,"[-91.5208624, 30.5190775]",30.5190775,-91.5208624
Massachusetts,Point,"[-71.3824374, 42.4072107]",42.4072107,-71.3824374
Maryland,Point,"[-76.64127119999999, 39.0457549]",39.0457549,-76.64127119999999
Maine,Point,"[-69.4454689, 45.253783]",45.253783,-69.4454689
Michigan,Point,"[-85.60236429999999, 44.3148443]",44.3148443,-85.60236429999999
Minnesota,Point,"[-94.6858998, 46.729553]",46.729553,-94.6858998
Missouri,Point,"[-91.8318334, 37.9642529]",37.9642529,-91.8318334
Mississippi,Point,"[-89.3985283, 32.3546679]",32.3546679,-89.3985283
Montana,Point,"[-110.3625658, 46.8796822]",46.8796822,-110.3625658
North Carolina,Point,"[-79.01929969999999, 35.7595731]",35.7595731,-79.01929969999999
North Dakota,Point,"[-101.0020119, 47.5514926]",47.5514926,-101.0020119
Nebraska,Point,"[-99.9018131, 41.4925374]",41.4925374,-99.9018131
New Hampshire,Point,"[-71.5723953, 43.1938516]",43.1938516,-71.5723953
New Jersey,Point,"[-74.4056612, 40.0583238]",40.0583238,-74.4056612
New Mexico,Point,"[-105.0323635, 34.9727305]",34.9727305,-105.0323635
Nevada,Point,"[-116.419389, 38.8026097]",38.8026097,-116.419389
New York,Point,"[-74.0059728, 40.7127753]",40.7127753,-74.0059728
Ohio,Point,"[-82.90712300000001, 40.4172871]",40.4172871,-82.90712300000001
Oklahoma,Point,"[-97.092877, 35.0077519]",35.0077519,-97.092877
Oregon,Point,"[-120.5542012, 43.8041334]",43.8041334,-120.5542012
Pennsylvania,Point,"[-77.1945247, 41.2033216]",41.2033216,-77.1945247
Rhode Island,Point,"[-71.4774291, 41.5800945]",41.5800945,-71.4774291
South Carolina,Point,"[-81.1637245, 33.836081]",33.836081,-81.1637245
South Dakota,Point,"[-99.9018131, 43.9695148]",43.9695148,-99.9018131
Tennessee,Point,"[-86.5804473, 35.5174913]",35.5174913,-86.5804473
Texas,Point,"[-99.9018131, 31.9685988]",31.9685988,-99.9018131
Utah,Point,"[-111.8939487, 40.7606608]",40.7606608,-111.8939487
Virginia,Point,"[-78.6568942, 37.4315734]",37.4315734,-78.6568942
Vermont,Point,"[-72.57784149999999, 44.5588028]",44.5588028,-72.57784149999999
