State/Province,# of Listings,Most Recent Report,Last Posted,Link
Alaska,22,12-2022,5-2022,https://www.bfro.net/GDB/state_listing.asp?state=ak
Alabama,102,2-2023,2-2023,https://www.bfro.net/GDB/state_listing.asp?state=al
Arkansas,111,3-2023,9-2022,https://www.bfro.net/GDB/state_listing.asp?state=ar
Arizona,85,6-2021,6-2021,https://www.bfro.net/GDB/state_listing.asp?state=az
California,463,10-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=ca
Colorado,130,7-2021,6-2021,https://www.bfro.net/GDB/state_listing.asp?state=co
Connecticut,25,5-2024,10-2023,https://www.bfro.net/GDB/state_listing.asp?state=ct
Delaware,5,9-2013,11-2012,https://www.bfro.net/GDB/state_listing.asp?state=de
Florida,344,8-2024,2-2024,https://www.bfro.net/GDB/state_listing.asp?state=fl
Georgia,145,9-2024,8-2024,https://www.bfro.net/GDB/state_listing.asp?state=ga
Iowa,78,1-2024,6-2018,https://www.bfro.net/GDB/state_listing.asp?state=ia
Idaho,103,9-2022,11-2021,https://www.bfro.net/GDB/state_listing.asp?state=id
Illinois,304,10-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=il
Indiana,82,9-2020,6-2020,https://www.bfro.net/GDB/state_listing.asp?state=in
Kansas,49,5-2021,5-2021,https://www.bfro.net/GDB/state_listing.asp?state=ks
Kentucky,115,12-2021,11-2021,https://www.bfro.net/GDB/state_listing.asp?state=ky
Louisiana,45,1-2024,6-2023,https://www.bfro.net/GDB/state_listing.asp?state=la
Massachusetts,38,12-2024,7-2023,https://www.bfro.net/GDB/state_listing.asp?state=ma
Maryland,35,11-2022,11-2022,https://www.bfro.net/GDB/state_listing.asp?state=md
Maine,22,1-2024,12-2023,https://www.bfro.net/GDB/state_listing.asp?state=me
Michigan,225,2-2022,2-2022,https://www.bfro.net/GDB/state_listing.asp?state=mi
Minnesota,79,7-2024,5-2024,https://www.bfro.net/GDB/state_listing.asp?state=mn
Missouri,167,9-2023,8-2023,https://www.bfro.net/GDB/state_listing.asp?state=mo
Mississippi,26,7-2024,1-2022,https://www.bfro.net/GDB/state_listing.asp?state=ms
Montana,55,12-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=mt
