OBJECTID,ADMINFORESTID,REGION,FORESTNUMBER,FORESTORGCODE,FORESTNAME,GIS_ACRES,SHAPELEN,SHAPEAREA
206935,99010200010343,01,02,0102,Beaverhead-Deerlodge National Forest,3614441.557,38.6303588348914,1.68759710289468
206936,99010300010343,01,03,0103,Bitterroot National Forest,1664505.633,12.2172477988328,0.781396160609281
206937,99010400010343,01,04,0104,Idaho Panhandle National Forests,2943321.271,31.7295532677398,1.43342477491669
206938,99011000010343,01,10,0110,Flathead National Forest,2651682.45,19.3592231153902,1.29401709259221
206939,99011100010343,01,11,0111,Custer Gallatin National Forest,3412189.636,25.6271711671348,1.58525587888479
206940,99011400010343,01,14,0114,Kootenai National Forest,2622031.486,21.5636364486144,1.28959610977933
206941,99011500010343,01,15,0115,Helena-Lewis and Clark National Forest,3177716.457,28.681930663163,1.52132753735322
206942,99011600010343,01,16,0116,Lolo National Forest,2625446.183,29.3629166375823,1.26039724343478
206943,99011700010343,01,17,0117,Nez Perce-Clearwater National Forest,4072778.439,18.006642713534,1.92120305691848
206944,99011800010343,01,18,0118,Dakota Prairie Grasslands,1384906.949,79.9783877541906,0.662640036315654
206945,99020200010343,02,02,0202,Bighorn National Forest,1112943.248,5.00836163609919,0.510038118370476
206946,99020300010343,02,03,0203,Black Hills National Forest,1537476.899,14.4121329819445,0.698262966184044
206947,99020400010343,02,04,0204,"Grand Mesa, Uncompahgre and Gunnison National Forests",3153185.067,24.5210999758481,1.31905213428311
206948,99020600010343,02,06,0206,Medicine Bow-Routt National Forest,4592778.78,28.0155368435009,2.02420076232186
206949,99020700010343,02,07,0207,Nebraska National Forest,2064847.942,18.3296512835553,0.927559833157127
206950,99020900010343,02,09,0209,Rio Grande National Forest,1937272.167,12.8985342745942,0.801240541204248
206951,99021000010343,02,10,0210,Arapaho and Roosevelt National Forests,2491773.153,17.4902185940464,1.0706755747988
206952,99021200010343,02,12,0212,Pike and San Isabel National Forests,3968978.194,30.9997188925178,1.65398829396676
206953,99021300010343,02,13,0213,San Juan National Forest,2094524.191,9.0820087221103,0.863621921995973
206954,99021400010343,02,14,0214,Shoshone National Forest,2469213.988,12.974467560027,1.12207958920532
206955,99021500010343,02,15,0215,White River National Forest,2482700.843,13.4530732646199,1.05301911277128
206956,99030100010343,03,01,0301,Apache-Sitgreaves National Forests,2110679.22,8.94030214876123,0.83310279950981
206957,99030200010343,03,02,0302,Carson National Forest,1592466.188,11.5845629685303,0.648449862626034
206958,99030300010343,03,03,0303,Cibola National Forest,3215646.675,22.7942246953474,1.28703358287215
206959,99030400010343,03,04,0304,Coconino National Forest,2000943.613,7.07931627976141,0.79873572547181
206960,99030500010343,03,05,0305,Coronado National Forest,1785083.74,16.3260466615734,0.689293838590095
206961,99030600010343,03,06,0306,Gila National Forest,3389380.142,9.98890176141282,1.32958624065605
206962,99030700010343,03,07,0307,Kaibab National Forest,1581382.132,9.27574665428527,0.639300541860348
206963,99030800010343,03,08,0308,Lincoln National Forest,1261948.641,9.47426355559511,0.492506008583059
206964,99030900010343,03,09,0309,Prescott National Forest,1411544.385,8.12121369796669,0.561791264314249
206965,99031000010343,03,10,0310,Santa Fe National Forest,1681799.233,12.2081984869716,0.679428529659604
206966,99031200010343,03,12,0312,Tonto National Forest,2966404.973,7.9119819885106,1.16976248356452
206967,99040100010343,04,01,0401,Ashley National Forest,1401237.56,9.65714548561127,0.603738346938518
206968,99040200010343,04,02,0402,Boise National Forest,2526852.025,12.9227155932524,1.14801856390419
206969,99040300010343,04,03,0403,Bridger-Teton National Forest,3466345.072,14.3366207810722,1.55454347188471
206970,99040700010343,04,07,0407,Dixie National Forest,1711278.301,11.7396478568324,0.707541974169522
206971,99040800010343,04,08,0408,Fishlake National Forest,1788255.484,12.8849406102332,0.748530931679955
206972,99041000010343,04,10,0410,Manti-La Sal National Forest,1414379.997,11.093034722721,0.594270018382299
206973,99041200010343,04,12,0412,Payette National Forest,2407296.561,11.6867123330775,1.11341809253158
206974,99041300010343,04,13,0413,Salmon-Challis National Forest,4396364.611,24.6945701909426,2.01895594130189
206975,99041400010343,04,14,0414,Sawtooth National Forest,2190131.445,12.792586280748,0.984371750005504
206976,99041500010343,04,15,0415,Caribou-Targhee National Forest,3077743.767,30.2085021997602,1.38477289663116
206977,99041700010343,04,17,0417,Humboldt-Toiyabe National Forest,6704155.321,46.7895702772555,2.83326597045718
206978,99041900010343,04,19,0419,Uinta-Wasatch-Cache National Forest,2912947.615,19.2611084931602,1.25856533570128
206979,99050100010343,05,01,0501,Angeles National Forest,706716.264,5.09557367576762,0.280428309704608
206980,99050200010343,05,02,0502,Cleveland National Forest,561876.779,6.26883878778574,0.219851801038003
