Place,Date,Class,Description
"Anchorage Borough, Alaska",February 2004,(Class A)," - Snowmobiler has encounter in deep snow near Potter, AK"
"Anchorage Borough, Alaska",December 2003,(Class B), - Four nocturnal hikers get pelted with snow near Anchorage
"Bethel Borough, Alaska",September 1998,(Class B), - Creature observed walking back and forth by witnesses
"Bristol Bay Borough, Alaska",July 2004,(Class B), - Fishermen find footprints east of Egegik.
"Cordova-McCarthy Borough, Alaska",June 2000,(Class A), - Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve
"Fairbanks Borough, Alaska",July 2009,(Class A), - Daytime sighting of reddish-colored bigfoot near Fairbanks
"Fairbanks Borough, Alaska",May 1998,(Class A)," - Family on their way home see a large, hairy creature cross the road"
"Fairbanks Borough, Alaska",August 1997,(Class B)," - Hunter hears footsteps late at night in Goldstream Valley, just north of Fairbanks"
"Fairbanks Borough, Alaska", Late 1970's,(Class A), - Sighting by Army personnel on manuevers
"Fairbanks Borough, Alaska",September 1964,(Class A)," - Witness observers 6 foot, shaggy, dark brown creature off Richardson Hwy"
"Kenai-Cook Inlet Borough, Alaska",November In the 1980's,(Class B)," - While hunting small game, witness gets a glimpse of ""the hairy man"""
"Matanuska-Susitna Borough, Alaska",September 2000,(Class B), - Possible track found by hunter near Palmer / Hatcher Pass
"Matanuska-Susitna Borough, Alaska", 1992,(Class A), - Two witnesses see a large orangutan-type animal sitting in the road
"Prince of Wales Borough, Alaska",February 2004,(Class A), - Sasquatch walks past window of house at night
"Prince of Wales Borough, Alaska",May 2001,(Class B), - Two boys find footprints on Harris River bank
"Prince of Wales Borough, Alaska",Spring 1995,(Class A), - Family observes large biped from car
"Southeast Fairbanks Borough, Alaska",August 2008,(Class B), - Hunter describes powerful wood knocks at a cabin in remote wilderness south of the town of Chicken
"Southeast Fairbanks Borough, Alaska",April 2008,(Class A), - Passenger on the Alcan Highway sees a tall bipedal creature walk across the road
"Southeast Fairbanks Borough, Alaska",June 2004,(Class A)," - Driver on Alcan Highway has noon, road encounter near Alaska-Canada border"
"Valdez-Chitina-Whittier Borough, Alaska",May 2022,(Class A), - Daylight road crossing sighting of a Sasquatch 65mi NE of Valdez
"Valdez-Chitina-Whittier Borough, Alaska",Fall Early 1990's,(Class A), - Fisherman views a sasquatch through binoculars at a distance of 1000 feet
"Anchorage Borough, Alaska",February 2004,(Class A)," - Snowmobiler has encounter in deep snow near Potter, AK"
"Anchorage Borough, Alaska",December 2003,(Class B), - Four nocturnal hikers get pelted with snow near Anchorage
"Bethel Borough, Alaska",September 1998,(Class B), - Creature observed walking back and forth by witnesses
"Bristol Bay Borough, Alaska",July 2004,(Class B), - Fishermen find footprints east of Egegik.
"Cordova-McCarthy Borough, Alaska",June 2000,(Class A), - Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve
"Fairbanks Borough, Alaska",July 2009,(Class A), - Daytime sighting of reddish-colored bigfoot near Fairbanks
"Fairbanks Borough, Alaska",May 1998,(Class A)," - Family on their way home see a large, hairy creature cross the road"
"Fairbanks Borough, Alaska",August 1997,(Class B)," - Hunter hears footsteps late at night in Goldstream Valley, just north of Fairbanks"
"Fairbanks Borough, Alaska", Late 1970's,(Class A), - Sighting by Army personnel on manuevers
"Fairbanks Borough, Alaska",September 1964,(Class A)," - Witness observers 6 foot, shaggy, dark brown creature off Richardson Hwy"
"Kenai-Cook Inlet Borough, Alaska",November In the 1980's,(Class B)," - While hunting small game, witness gets a glimpse of ""the hairy man"""
"Matanuska-Susitna Borough, Alaska",September 2000,(Class B), - Possible track found by hunter near Palmer / Hatcher Pass
"Matanuska-Susitna Borough, Alaska", 1992,(Class A), - Two witnesses see a large orangutan-type animal sitting in the road
"Prince of Wales Borough, Alaska",February 2004,(Class A), - Sasquatch walks past window of house at night
"Prince of Wales Borough, Alaska",May 2001,(Class B), - Two boys find footprints on Harris River bank
"Prince of Wales Borough, Alaska",Spring 1995,(Class A), - Family observes large biped from car
"Southeast Fairbanks Borough, Alaska",August 2008,(Class B), - Hunter describes powerful wood knocks at a cabin in remote wilderness south of the town of Chicken
"Southeast Fairbanks Borough, Alaska",April 2008,(Class A), - Passenger on the Alcan Highway sees a tall bipedal creature walk across the road
"Southeast Fairbanks Borough, Alaska",June 2004,(Class A)," - Driver on Alcan Highway has noon, road encounter near Alaska-Canada border"
"Valdez-Chitina-Whittier Borough, Alaska",May 2022,(Class A), - Daylight road crossing sighting of a Sasquatch 65mi NE of Valdez
"Valdez-Chitina-Whittier Borough, Alaska",Fall Early 1990's,(Class A), - Fisherman views a sasquatch through binoculars at a distance of 1000 feet
"Autauga County, Alabama", 1985,(Class B), - Night hunters hear strange screams in the woods
