Place,Class,lat,long
"Anchorage Borough, Alaska",Class A,61.2175758,-149.8996785
"Anchorage Borough, Alaska",Class B,61.2175758,-149.8996785
"Bethel Borough, Alaska",Class B,60.79425899999999,-161.7694402
"Bristol Bay Borough, Alaska",Class B,58.7578504,-156.7792687
"Cordova-McCarthy Borough, Alaska",Class A,60.5424087,-145.7525414
"Fairbanks Borough, Alaska",Class A,64.9526102,-146.4744155
"Fairbanks Borough, Alaska",Class A,64.9526102,-146.4744155
"Fairbanks Borough, Alaska",Class B,64.9526102,-146.4744155
"Fairbanks Borough, Alaska",Class A,64.9526102,-146.4744155
"Fairbanks Borough, Alaska",Class A,64.9526102,-146.4744155
"Kenai-Cook Inlet Borough, Alaska",Class B,60.55491139999999,-151.2597037
"Matanuska-Susitna Borough, Alaska",Class B,62.2599347,-150.1729153
"Matanuska-Susitna Borough, Alaska",Class A,62.2599347,-150.1729153
"Prince of Wales Borough, Alaska",Class A,63.588753,-154.4930619
"Prince of Wales Borough, Alaska",Class B,63.588753,-154.4930619
"Prince of Wales Borough, Alaska",Class A,63.588753,-154.4930619
"Southeast Fairbanks Borough, Alaska",Class B,63.9603869,-143.6296998
"Southeast Fairbanks Borough, Alaska",Class A,63.9603869,-143.6296998
"Southeast Fairbanks Borough, Alaska",Class A,63.9603869,-143.6296998
"Valdez-Chitina-Whittier Borough, Alaska",Class A,60.7745903,-148.6858408
"Valdez-Chitina-Whittier Borough, Alaska",Class A,60.7745903,-148.6858408
"Autauga County, Alabama",Class B,32.5791817,-86.49965460000001
"Baldwin County, Alabama",Class B,30.6010744,-87.77633329999999
"Baldwin County, Alabama",Class A,30.6010744,-87.77633329999999
"Barbour County, Alabama",Class A,31.8172896,-85.35496499999999
"Bibb County, Alabama",Class B,32.9562798,-87.14228949999999
"Blount County, Alabama",Class B,34.0145152,-86.49965460000001
"Blount County, Alabama",Class A,34.0145152,-86.49965460000001
"Blount County, Alabama",Class B,34.0145152,-86.49965460000001
"Cherokee County, Alabama",,34.1665322,-85.684578
"Chilton County, Alabama",Class A,32.944392,-86.6611083
"Chilton County, Alabama",Class A,32.944392,-86.6611083
"Clarke County, Alabama",Class A,31.7002461,-87.77633329999999
"Clarke County, Alabama",Class A,31.7002461,-87.77633329999999
"Clarke County, Alabama",Class B,31.7002461,-87.77633329999999
"Clarke County, Alabama",Class B,31.7002461,-87.77633329999999
"Clay County, Alabama",Class A,33.279527,-85.84862360000001
"Clay County, Alabama",Class B,33.279527,-85.84862360000001
