,State/Province,# of Listings,Most Recent Report,Last Posted,Link,place,geometry.type,geometry.coordinates,lat,long
0,Alaska,22,12-2022,5-2022,https://www.bfro.net/GDB/state_listing.asp?state=ak,Alaska,Point,"(-154.4930619, 63.588753)",63.588753,-154.4930619
1,Alabama,102,2-2023,2-2023,https://www.bfro.net/GDB/state_listing.asp?state=al,Alabama,Point,"(-86.902298, 32.3182314)",32.3182314,-86.902298
2,Arkansas,111,3-2023,9-2022,https://www.bfro.net/GDB/state_listing.asp?state=ar,Arkansas,Point,"(-91.8318334, 35.20105)",35.20105,-91.8318334
3,Arizona,85,6-2021,6-2021,https://www.bfro.net/GDB/state_listing.asp?state=az,Arizona,Point,"(-111.0937311, 34.0489281)",34.0489281,-111.0937311
4,California,463,10-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=ca,California,Point,"(-119.4179324, 36.778261)",36.778261,-119.4179324
5,Colorado,130,7-2021,6-2021,https://www.bfro.net/GDB/state_listing.asp?state=co,Colorado,Point,"(-105.7820674, 39.5500507)",39.5500507,-105.7820674
6,Connecticut,25,5-2024,10-2023,https://www.bfro.net/GDB/state_listing.asp?state=ct,Connecticut,Point,"(-73.087749, 41.6032207)",41.6032207,-73.087749
7,Delaware,5,9-2013,11-2012,https://www.bfro.net/GDB/state_listing.asp?state=de,Delaware,Point,"(-75.52766989999999, 38.9108325)",38.9108325,-75.52766989999999
8,Florida,344,8-2024,2-2024,https://www.bfro.net/GDB/state_listing.asp?state=fl,Florida,Point,"(-81.5157535, 27.6648274)",27.6648274,-81.5157535
9,Georgia,145,9-2024,8-2024,https://www.bfro.net/GDB/state_listing.asp?state=ga,Georgia,Point,"(43.35689199999999, 42.315407)",42.315407,43.35689199999999
10,Iowa,78,1-2024,6-2018,https://www.bfro.net/GDB/state_listing.asp?state=ia,Iowa,Point,"(-93.097702, 41.8780025)",41.8780025,-93.097702
11,Idaho,103,9-2022,11-2021,https://www.bfro.net/GDB/state_listing.asp?state=id,Idaho,Point,"(-114.7420408, 44.0682019)",44.0682019,-114.7420408
12,Illinois,304,10-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=il,Illinois,Point,"(-89.3985283, 40.6331249)",40.6331249,-89.3985283
13,Indiana,82,9-2020,6-2020,https://www.bfro.net/GDB/state_listing.asp?state=in,Indiana,Point,"(-85.60236429999999, 40.5512165)",40.5512165,-85.60236429999999
14,Kansas,49,5-2021,5-2021,https://www.bfro.net/GDB/state_listing.asp?state=ks,Kansas,Point,"(-98.4842465, 39.011902)",39.011902,-98.4842465
15,Kentucky,115,12-2021,11-2021,https://www.bfro.net/GDB/state_listing.asp?state=ky,Kentucky,Point,"(-84.2700179, 37.8393332)",37.8393332,-84.2700179
16,Louisiana,45,1-2024,6-2023,https://www.bfro.net/GDB/state_listing.asp?state=la,Louisiana,Point,"(-91.5208624, 30.5190775)",30.5190775,-91.5208624
17,Massachusetts,38,12-2024,7-2023,https://www.bfro.net/GDB/state_listing.asp?state=ma,Massachusetts,Point,"(-71.3824374, 42.4072107)",42.4072107,-71.3824374
18,Maryland,35,11-2022,11-2022,https://www.bfro.net/GDB/state_listing.asp?state=md,Maryland,Point,"(-76.64127119999999, 39.0457549)",39.0457549,-76.64127119999999
19,Maine,22,1-2024,12-2023,https://www.bfro.net/GDB/state_listing.asp?state=me,Maine,Point,"(-69.4454689, 45.253783)",45.253783,-69.4454689
20,Michigan,225,2-2022,2-2022,https://www.bfro.net/GDB/state_listing.asp?state=mi,Michigan,Point,"(-85.60236429999999, 44.3148443)",44.3148443,-85.60236429999999
21,Minnesota,79,7-2024,5-2024,https://www.bfro.net/GDB/state_listing.asp?state=mn,Minnesota,Point,"(-94.6858998, 46.729553)",46.729553,-94.6858998
22,Missouri,167,9-2023,8-2023,https://www.bfro.net/GDB/state_listing.asp?state=mo,Missouri,Point,"(-91.8318334, 37.9642529)",37.9642529,-91.8318334
23,Mississippi,26,7-2024,1-2022,https://www.bfro.net/GDB/state_listing.asp?state=ms,Mississippi,Point,"(-89.3985283, 32.3546679)",32.3546679,-89.3985283
