Counties,# of Listings,Most Recent Report,Last Posted,Link
Aleutian Islands East,,,,
Aleutian Islands West,,,,
Anchorage,2,2-2004,11-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Anchorage
Angoon,,,,
Barrow,,,,
Bethel,2,9-1998,1-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Bethel
Bristol Bay,1,7-2004,5-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Bristol+Bay
Cordova-McCarthy,1,6-2000,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Cordova%2DMcCarthy
Fairbanks,5,7-2009,12-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Fairbanks
Haines,,,,
Juneau,,,,
Kenai-Cook Inlet,1,11-1985,12-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Kenai%2DCook+Inlet
Ketchikan,,,,
Kobuk,,,,
Borough,# ofListings,MostRecentReport,LastPosted,
Kodiak,,,,
Matanuska-Susitna,2,9-2000,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Matanuska%2DSusitna
Nome,,,,
Outer Ketchikan,,,,
Prince of Wales,3,2-2004,11-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Prince+of+Wales
Seward,,,,
Sitka,,,,
Skagway-Yakutat,,,,
Southeast Fairbanks,3,8-2008,8-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Southeast+Fairbanks
Upper Ukon,,,,
Valdez-Chitina-Whittier,2,5-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Valdez%2DChitina%2DWhittier
Wade-Hampton,,,,
Wrangell-Petersburg,,,,
Yukon-Koyukuk,,,,
Aleutian Islands East,,,,
Aleutian Islands West,,,,
Anchorage,2,2-2004,11-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Anchorage
Angoon,,,,
Barrow,,,,
Bethel,2,9-1998,1-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Bethel
Bristol Bay,1,7-2004,5-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Bristol+Bay
Cordova-McCarthy,1,6-2000,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Cordova%2DMcCarthy
Fairbanks,5,7-2009,12-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Fairbanks
Haines,,,,
Juneau,,,,
Kenai-Cook Inlet,1,11-1985,12-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Kenai%2DCook+Inlet
Ketchikan,,,,
Kobuk,,,,
Borough,# ofListings,MostRecentReport,LastPosted,
Kodiak,,,,
Matanuska-Susitna,2,9-2000,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Matanuska%2DSusitna
Nome,,,,
Outer Ketchikan,,,,
Prince of Wales,3,2-2004,11-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Prince+of+Wales
Seward,,,,
Sitka,,,,
Skagway-Yakutat,,,,
Southeast Fairbanks,3,8-2008,8-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Southeast+Fairbanks
Upper Ukon,,,,
Valdez-Chitina-Whittier,2,5-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ak&county=Valdez%2DChitina%2DWhittier
Wade-Hampton,,,,
Wrangell-Petersburg,,,,
Yukon-Koyukuk,,,,
